"","DNUM_IC","ASUNTO","MESES_CONSUMO","IMPORTE_ACUMULADO","IMPORTE_ULTIMO_MES","ULTIMO_MES","TIPO_AMPARO"
"93",2001903718,131561,19,227805561.82,22422673.11,202502,"MAC"
"94",2000140347,139139,28,225432443.28,32922.65,202510,"MAC"
"95",1500255014,134621,23,221966341.3,78863.82,202506,"MAC"
"96",2000967376,135888,21,220524182.96,2942267.21,202508,"MAC"
"97",2003079088,133960,27,219907577.28,28550967.7,202509,"MAC"
"98",1500350238,123736,28,214627851.97,4262623.58,202510,"MAC"
"99",2000663904,140097,13,211790908.28,22743918.61,202509,"MAC"
"100",1002761440,135923,24,206415393.74,6417692.02,202510,"MAC"
"101",1503464032,95011,14,205282615.37,16036954.97,202412,"MAC"
"102",2003889619,128186,3,205188173.54,51065523,202412,"MAC"
"103",2000483473,130611,19,203859840.64,162099.87,202510,"MAC"
"104",1000535642,115779,15,202940635.3,5178078.32,202407,"MAC"
"105",2000738283,139224,28,201909213.76,16243417.84,202508,"MAC"
"106",2000055237,126891,24,201243744.05,4858503.36,202508,"MAC"
"107",1502236375,135398,29,199982780.38,27162,202510,"MAC"
"108",2001059263,130681,8,199030416.17,478061.71,202509,"MAC"
"109",2000644298,135495,17,198879742.99,4792996.22,202505,"MAC"
"110",1002954316,130007,22,196194477.4,322.82,202509,"MAC"
"111",2002666776,129823,10,191024416.67,3508.71,202509,"MAC"
"112",2000010866,107345,14,188264772.5,115255.86,202509,"MAC"
"113",1000569011,134314,23,186727324.76,22558188.42,202510,"MAC"
"114",2001978213,139253,17,183065508.89,92707.79,202508,"MAC"
"115",2001986900,134103,23,181931215.9,614389.96,202510,"MAC"
"116",2000125406,133471,20,176454477.07,63845369.8,202508,"MAC"
"117",2001774860,124696,17,170552277.4,16568636.69,202409,"MAC"
"118",2000743712,133506,22,168578362.91,1032541.29,202507,"MAC"
"119",1000553523,109346,13,166478699.49,229421.09,202405,"MAC"
"120",1500423921,123340,22,166062973.92,22943194.25,202508,"MAC"
"121",1002136412,130162,7,165101304.57,32999354.71,202506,"MAC"
"122",2000010824,120219,25,164264380.75,6102694.11,202505,"MAC"
"123",1000692617,137991,6,162062259.56,53689565.03,202509,"MAC"
"124",2003059753,125129,12,154664293.15,74044,202408,"MAC"
"125",2000554753,123253,10,154483331.47,75535571.87,202506,"MAC"
"126",2000966565,131243,24,146833152.49,3721541.95,202510,"MAC"
"127",2002928795,123789,15,146349897.21,119266.7,202412,"MAC"
"128",1000625280,115664,10,145751096.29,608539.99,202404,"MAC"
"129",1500526152,128159,15,145584007.3,2165273.54,202510,"MAC"
"130",2001259445,139015,29,143795626.05,9490010.4,202510,"MAC"
"131",1002739141,139252,28,132221284.52,4331492.19,202509,"MAC"
"132",1002478783,130338,6,132203022.95,33005243.88,202504,"MAC"
"133",1002876785,128509,29,132007720.94,1244182.26,202509,"MAC"
"134",1002755714,133472,3,131997418.84,32999354.71,202509,"MAC"
"135",1002352081,120717,15,130010852.92,14039224.2,202504,"MAC"
"136",2000950699,133374,20,129757666.53,16477.55,202510,"MAC"
"137",1002935601,139096,24,128092819.14,671922.33,202509,"MAC"
"138",1002756283,130344,22,127837944.76,4245900.62,202503,"MAC"
"139",2001411137,122728,17,125773126.46,8910081.82,202509,"MAC"
"140",1000605289,103694,23,125619041.72,395402.4,202508,"MAC"
"141",1002347175,114800,19,125595570.87,9644382.78,202412,"MAC"
"142",2002485451,141248,14,125448189.41,129751.89,202508,"MAC"
"143",1002608471,134725,14,121661657.88,55435351.79,202509,"MAC"
"144",1000246725,133161,9,114212294.8,14603420.25,202510,"MAC"
"145",2001574599,113921,26,113003247.19,4062090.48,202508,"MAC"
"146",1002789546,131099,18,111750071.73,23451161.65,202508,"MAC"
"147",2000087151,130182,23,109524196.62,951582.16,202505,"MAC"
"148",2000087151,134660,23,109524196.62,951582.16,202505,"MAC"
"149",1002567911,135113,15,109334443.74,17666938.72,202509,"MAC"
"150",1500357009,133543,21,109183526.5,1255454.66,202510,"MAC"
"151",1002285468,139940,18,108830152.83,35788.04,202510,"MAC"
"152",2000252109,114489,9,107978233.18,15297050.03,202406,"MAC"
"153",2001012279,134053,19,105331755.74,15313182.04,202507,"MAC"
"154",1000695106,109317,24,104657223.42,3876193.46,202509,"MAC"
"155",1502699965,123587,9,103342678.32,15291491.97,202412,"MAC"
"156",1502699965,124629,9,103342678.32,15291491.97,202412,"MAC"
"157",1002222559,129949,24,103287180.69,23834375,202509,"MAC"
"158",1000714721,116246,17,101924865.5,97959.79,202503,"MAC"
"159",2002774645,124262,29,100605240.18,3469773.25,202509,"MAC"
"160",1000141137,120232,9,99536612.79,19658.3,202509,"MAC"
"161",1000141137,140257,9,99536612.79,19658.3,202509,"MAC"
"162",2000318614,141170,26,98982203.17,10249944.17,202509,"MAC"
"163",1000386847,110303,14,98374532.23,6986173.51,202508,"MAC"
"164",2003055564,135508,15,96608602.47,39316.59,202510,"MAC"
"165",2000212798,132813,20,95610323.3,45707.31,202504,"MAC"
"166",1002093912,139754,19,94025040.84,25566397.63,202509,"MAC"
"167",2000669588,141501,11,90897056.27,16495282.62,202507,"MAC"
"168",2002069428,113515,20,89152449.58,7752386.92,202509,"MAC"
"169",2000352763,114908,17,88967356.31,239771.13,202412,"MAC"
"170",1002351096,125357,26,88793153.26,1073274.87,202509,"MAC"
"171",1000676453,130142,19,86379582.71,2280158.3,202501,"MAC"
"172",2001312346,119932,28,85939993.04,5482007.3,202509,"MAC"
"173",2000531661,134410,17,81882839.05,6183496.35,202509,"MAC"
"174",1003526460,112142,23,81524581.88,3876193.46,202509,"MAC"
"175",1500167977,118988,21,80628188.55,16054.27,202510,"MAC"
"176",2002765906,119582,5,78838748.45,19868862.53,202410,"MAC"
"177",2000815056,131354,14,78509885.48,125671.61,202502,"MAC"
"178",1002794379,141096,16,78107559.97,1076966.98,202509,"MAC"
"179",1000294083,133346,25,78044741.11,25730.55,202510,"MAC"
"180",1002758849,137484,17,76873349.31,30626364.06,202509,"MAC"
"181",2002965428,112208,4,74171163.93,536867.59,202402,"MAC"
"182",1003005316,102931,21,73655781.17,3630.04,202507,"MAC"
"183",2000454636,129149,25,72743925.64,74044,202507,"MAC"
"184",1500427872,136856,23,71361693.93,15391346.53,202508,"MAC"
"185",1500490707,140683,14,69970009.69,16366273.41,202507,"MAC"
"186",2003259890,110026,30,69417233.63,254604.38,202510,"MAC"
"187",2000692023,138382,9,67316273.55,66147729.19,202509,"MAC"
"188",2000141725,140692,8,67186026.4,5065221.44,202510,"MAC"
"189",2000267590,132645,20,65630724.22,2553286.74,202506,"MAC"
"190",1000613169,125385,7,64826136.38,130631.54,202504,"MAC"
"191",2001482663,134805,13,63829248.93,1718804.96,202509,"MAC"
"192",1500544860,135469,7,63687625.78,140277,202508,"MAC"
"193",1000444629,127928,22,62043568.56,1433302.39,202510,"MAC"
"194",1002484308,112291,16,62022590.16,3876193.46,202509,"MAC"
"195",1502963244,141590,24,60227903.16,140547.79,202507,"MAC"
"196",2000236553,138811,26,59988181.54,29471922.33,202509,"MAC"
"197",2003784720,119712,24,59430661.67,893223.26,202509,"MAC"
"198",2000643492,126159,3,58930528.21,70705.73,202405,"MAC"
"199",2000312229,112407,22,58329712.84,73499.07,202510,"MAC"
"200",2000312229,116297,22,58329712.84,73499.07,202510,"MAC"
"201",2000120021,123971,12,58164450.07,3876193.46,202509,"MAC"
"202",2000290692,130719,20,57962718.94,226858.31,202505,"MAC"
"203",1002361884,138093,11,56682380.15,16184303.66,202509,"MAC"
"204",2001782705,136732,25,53924520.29,24045232.09,202508,"MAC"
"205",1002223723,130862,15,53685381.19,2389603.04,202509,"MAC"
"206",1500484268,126899,18,52745284.48,3876193.46,202509,"MAC"
"207",1002601392,115765,14,52039541.97,5071587.95,202409,"MAC"
